year,min ,max,avg
1985,60000,2130300,476299.4473
1986,60000,2800000,417147.0434
1987,62500,2127333,434729.4657
1988,62500,2340000,453171.0769
1989,62500,2766667,506323.0816
1990,100000,3200000,512449.4145
1991,100000,3800000,894961.1942
1992,109000,6100000,1047520.576
1993,0,6200000,976966.559
1994,50000,6300000,1049588.56
1995,109000,9237500,964979.074
1996,109000,9237500,1027909.291
1997,50000,10000000,1218687.443
1998,170000,14936667,1280844.56
1999,0,11949794,1485316.849
2000,200000,15714286,1992984.572
2001,200000,22000000,2279841.062
2002,200000,22000000,2392526.622
2003,165574,22000000,2573472.948
2004,300000,22500000,2491776.105
2005,300000,26000000,2633830.804
2006,327000,21680727,2834520.9
2007,380000,23428571,2941435.852
2008,390000,28000000,3136517.138
2009,400000,33000000,3277646.979
2010,400000,33000000,3278746.825
2011,414000,32000000,3318838.249
2012,480000,30000000,3458421.217
2013,480000,29000000,3723344.353
2014,500000,26000000,3967937.107
2015,507000,32571000,4301276.094
